CustomerID,Lookalikes
C0001,"[('C0120', 0.9911871068921504), ('C0091', 0.9803693001785468), ('C0184', 0.9774180781340887)]"
C0002,"[('C0159', 0.99650919591408), ('C0106', 0.9853767865572343), ('C0178', 0.984252761122871)]"
C0003,"[('C0181', 0.9848038798289679), ('C0031', 0.9828988556198766), ('C0085', 0.9828756384384327)]"
C0004,"[('C0113', 0.9764674118840748), ('C0148', 0.9679048072087072), ('C0104', 0.9577946645173265)]"
C0005,"[('C0007', 0.9946663307475414), ('C0146', 0.9771835767782392), ('C0140', 0.9713131231732892)]"
C0006,"[('C0108', 0.9870149105874042), ('C0169', 0.9842127831621377), ('C0011', 0.9607729671577695)]"
C0007,"[('C0005', 0.9946663307475414), ('C0146', 0.970286804684652), ('C0090', 0.9596821828726243)]"
C0008,"[('C0024', 0.9778291231917172), ('C0055', 0.9757050019613032), ('C0109', 0.9694014843923164)]"
C0009,"[('C0198', 0.9882114764741387), ('C0060', 0.9831711123901788), ('C0119', 0.9807775391754074)]"
C0010,"[('C0111', 0.993553251371337), ('C0062', 0.9920655925060348), ('C0132', 0.9841192987985101)]"
C0011,"[('C0153', 0.9662487040275872), ('C0118', 0.9639081049026853), ('C0107', 0.9632869912825689)]"
C0012,"[('C0148', 0.9962922211379879), ('C0163', 0.9736619565565486), ('C0104', 0.9732281640763586)]"
C0013,"[('C0099', 0.9801513305335939), ('C0188', 0.9784425093392872), ('C0107', 0.9703642537964835)]"
C0014,"[('C0060', 0.9973702596779596), ('C0009', 0.9805846201608648), ('C0119', 0.9799008553365008)]"
C0015,"[('C0144', 0.9801015049564341), ('C0036', 0.97120639254332), ('C0033', 0.970757033754791)]"
C0016,"[('C0117', 0.9951392549934001), ('C0024', 0.9648566839404384), ('C0034', 0.9615802284886188)]"
C0017,"[('C0179', 0.9839320597539454), ('C0053', 0.9770776853102086), ('C0064', 0.976935032669723)]"
C0018,"[('C0122', 0.9883546434294251), ('C0068', 0.9869493745901343), ('C0183', 0.9718849393878716)]"
C0019,"[('C0070', 0.9887208715307855), ('C0179', 0.9696229805793674), ('C0063', 0.9632950017209236)]"
C0020,"[('C0094', 0.9785560106789867), ('C0157', 0.9674035618126293), ('C0033', 0.966096513214273)]"
